experiment_accession	is_control	matched_control	target_label	assay_title	description	lab	biosample_term_id	biosample_term_name	classification	organ_slims	cell_slims	developmental_slims	system_slims	organism	donor_accession	donor_sex	donor_life_stage	donor_age	donor_age_units	donor_ethnicity	run_type	platform	bio_replicate_count	tech_replicate_count	replication_type	date_released	status_exp	n_fastq_files	total_bytes
ENCSR138TQF	False	ENCSR576VXL	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO218FFZ	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	2	4	isogenic	2022-01-06	released	16	3882632080.0
ENCSR138WRC	True			Control ChIP-seq	Homo sapiens gastrocnemius medialis tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0011907	gastrocnemius medialis	tissue	limb,musculature of body		mesoderm	musculature	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	2	3	isogenic	2019-09-06	released	16	12818410610.0
ENCSR139WMA	True			Control ChIP-seq	Homo sapiens psoas muscle tissue female adult (30 years)	Bing Ren, UCSD	UBERON:0008450	psoas muscle	tissue	musculature of body		mesoderm	musculature	Homo sapiens	ENCDO424HVB	female	adult	30	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	2065253139.0
ENCSR143DQF	True			Control ChIP-seq	Homo sapiens cingulate gyrus tissue male adult (81 years)	Bradley Bernstein, Broad	UBERON:0002967	cingulate gyrus	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO980BZD	male	adult	81	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	6	1979025611.0
ENCSR143XNJ	False	ENCSR156WTZ	H3K27ac	Histone ChIP-seq	Homo sapiens esophagus squamous epithelium tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0006920	esophagus squamous epithelium	tissue	epithelium,esophagus		endoderm	digestive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-07-19	released	4	4177036310.0
ENCSR145RXI	True			Control ChIP-seq	Homo sapiens heart right ventricle tissue male adult (73 years)	Bradley Bernstein, Broad	UBERON:0002080	heart right ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO804CLC	male	adult	73	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	5603960174.0
ENCSR147KFH	True			Control ChIP-seq	Homo sapiens esophagus muscularis mucosa tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0004648	esophagus muscularis mucosa	tissue	musculature of body,esophagus		mesoderm	musculature,digestive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-08-01	released	4	4255316992.0
ENCSR149EOW	True			Control ChIP-seq	Homo sapiens ovary tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0000992	ovary	tissue	ovary,gonad			reproductive system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2016-11-03	released	2	2589696637.0
ENCSR150QXE	False	ENCSR961QMI	H3K27ac	Histone ChIP-seq	Homo sapiens heart left ventricle tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	896577123.0
ENCSR151NEZ	True			Control ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue female adult (89 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO707TUE	female	adult	89	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-04-12	released	12	2666740569.0
ENCSR152HLZ	True			Control ChIP-seq	Homo sapiens tibial nerve tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0001323	tibial nerve	tissue	limb,nerve		ectoderm	peripheral nervous system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-02-08	released	8	6058149553.0
ENCSR152MAZ	False	ENCSR564VBC	H3K27ac	Histone ChIP-seq	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (86 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO997SGX	female	adult	86	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2768172534.0
ENCSR153LYY	True			Control ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO672KST	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-04-12	released	8	3325115211.0
ENCSR154SJE	True			Control ChIP-seq	Homo sapiens tibial nerve tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0001323	tibial nerve	tissue	nerve,limb		ectoderm	peripheral nervous system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2017-01-27	released	2	3683794806.0
ENCSR155GOF	True			Control ChIP-seq	Homo sapiens foreskin keratinocyte male newborn	Joseph Costello, UCSF	CL:1001606	foreskin keratinocyte	primary cell	epithelium,penis,skin of body	keratinocyte,epithelial cell	mesoderm,ectoderm	reproductive system,integumental system	Homo sapiens	ENCDO666YUN	male	newborn				paired-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	2314729689.0
ENCSR156MYA	False	ENCSR988CHU	H3K27ac	Histone ChIP-seq	Homo sapiens skin epidermis tissue male adult (65 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO180HAI	male	adult	65	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	2	1910321981.0
ENCSR156WTZ	True			Control ChIP-seq	Homo sapiens esophagus squamous epithelium tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0006920	esophagus squamous epithelium	tissue	epithelium,esophagus		endoderm	digestive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-07-19	released	4	5360984792.0
ENCSR156XNC	False	ENCSR625BDY	H3K27ac	Histone ChIP-seq	Homo sapiens peripheral blood mononuclear cell female adult (28 years)	Joseph Costello, UCSF	CL:2000001	peripheral blood mononuclear cell	primary cell	bodily fluid,blood	leukocyte,mononuclear cell,hematopoietic cell	mesoderm	immune system	Homo sapiens	ENCDO839WKQ	female	adult	28	year	African American	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	2406983596.0
ENCSR158PLZ	True			Control ChIP-seq	Homo sapiens thoracic aorta tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0001515	thoracic aorta	tissue	vasculature,blood vessel,arterial blood vessel		mesoderm	circulatory system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	2	2	isogenic	2016-08-10	released	6	9650705763.0
ENCSR161JTT	True			Control ChIP-seq	Homo sapiens esophagus tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0001043	esophagus	tissue	esophagus		endoderm	digestive system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	2015792078.0
ENCSR163UEW	True			Control ChIP-seq	Homo sapiens psoas muscle tissue male child (3 years)	Bing Ren, UCSD	UBERON:0008450	psoas muscle	tissue	musculature of body		mesoderm	musculature	Homo sapiens	ENCDO478OMA	male	child	3	year		single-ended	Illumina HiSeq 2000	1	2	unreplicated	2013-07-31	released	2	4210493256.0
ENCSR163VJS	True			Control ChIP-seq	Homo sapiens adipose tissue tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0001013	adipose tissue	tissue	connective tissue,adipose tissue		mesoderm		Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1792489779.0
ENCSR163XFK	True			Control ChIP-seq	Homo sapiens coronary artery tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0001621	coronary artery	tissue	arterial blood vessel,blood vessel,vasculature,heart		mesoderm	circulatory system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2019-09-06	released	6	3469154589.0
ENCSR164POT	True			Control ChIP-seq	Homo sapiens thyroid gland tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0002046	thyroid gland	tissue	endocrine gland,thyroid gland		endoderm	endocrine system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2016-05-23	released	1	1671441016.0
ENCSR165CDY	False	ENCSR608IVH	H3K27ac	Histone ChIP-seq	Homo sapiens left ventricle myocardium inferior tissue male adult (60 years)	Bradley Bernstein, Broad	NTR:0000493	left ventricle myocardium inferior	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO520EJG	male	adult	60	year	European	single-ended	Illumina NextSeq 500	2	4	isogenic	2021-05-06	released	16	4242092327.0
ENCSR168STG	True			Control ChIP-seq	Homo sapiens parathyroid adenoma tissue male adult (65 years)	Bradley Bernstein, Broad	NTR:0001226	parathyroid adenoma	tissue	paraythroid gland		endoderm	endocrine system	Homo sapiens	ENCDO371NVV	male	adult	65	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2017-12-01	released	4	2975422908.0
ENCSR170MAJ	False	ENCSR652ZLE	H3K27ac	Histone ChIP-seq	Homo sapiens spleen tissue male child (3 years)	Bing Ren, UCSD	UBERON:0002106	spleen	tissue	spleen,immune organ		mesoderm	immune system,digestive system	Homo sapiens	ENCDO478OMA	male	child	3	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1439032639.0
ENCSR170MJE	True			Control ChIP-seq	Homo sapiens heart left ventricle tissue male adult (73 years)	Bradley Bernstein, Broad	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO804CLC	male	adult	73	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	4519259731.0
ENCSR174GMQ	False	ENCSR481SJM	H3K27ac	Histone ChIP-seq	Homo sapiens heart right ventricle tissue male adult (69 years)	Bradley Bernstein, Broad	UBERON:0002080	heart right ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO477WED	male	adult	69	year	Asian	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2186352381.0
ENCSR175ABH	False	ENCSR597PTH	H3K27ac	Histone ChIP-seq	Homo sapiens heart right ventricle tissue male adult (55 years)	Bradley Bernstein, Broad	UBERON:0002080	heart right ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO439CAZ	male	adult	55	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2022-06-09	released	12	1961840720.0
ENCSR175HRD	True			Control ChIP-seq	Homo sapiens motor neuron	Michael Snyder, Stanford	CL:0000100	motor neuron	in vitro differentiated cells	spinal cord,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO022IAQ	male	child	6	year		paired-ended	Illumina NovaSeq 6000	1	1	unreplicated	2021-12-15	released	1	4016084945.0
ENCSR175XPY	False	ENCSR247NUF	H3K27ac	Histone ChIP-seq	Homo sapiens colonic mucosa tissue female adult (56 years)	Bradley Bernstein, Broad	UBERON:0000317	colonic mucosa	tissue	colon,large intestine,intestine		endoderm	digestive system	Homo sapiens	ENCDO438RUL	female	adult	56	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	808153938.0
ENCSR177QFY	False	ENCSR828HXJ	H3K27ac	Histone ChIP-seq	Homo sapiens adrenal gland tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0002369	adrenal gland	tissue	endocrine gland,adrenal gland		mesoderm,ectoderm	endocrine system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	2	2	isogenic	2016-10-24	released	2	3488016821.0
ENCSR178FVP	True			Control ChIP-seq	Homo sapiens heart left ventricle tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0002084	heart left ventricle	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2018-12-11	released	4	4064446164.0
ENCSR178MWD	True			Control ChIP-seq	Homo sapiens gastroesophageal sphincter tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0004550	gastroesophageal sphincter	tissue	musculature of body,stomach		endoderm	digestive system,musculature	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2016-11-03	released	4	3059671939.0
ENCSR179YLS	True			Control ChIP-seq	Homo sapiens SU-DHL-6	Bradley Bernstein, Broad	EFO:0002357	SU-DHL-6	cell line		B cell,hematopoietic cell,leukocyte	mesoderm,endoderm	immune system	Homo sapiens	ENCDO353AAA	male	adult	43	year	European	single-ended	Illumina HiSeq 2000	2	2	isogenic	2014-07-11	released	7	6660334899.0
ENCSR180YHA	False	ENCSR310TYO	H3K27ac	Histone ChIP-seq	Homo sapiens A549 treated with 100 nM dexamethasone (agonist) for 10 hours	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 2500	3	3	isogenic	2016-07-21	released	3	6050015027.0
ENCSR181OHF	False	ENCSR968MKZ	H3K27ac	Histone ChIP-seq	Homo sapiens with Alzheimer's disease; dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO865EMM	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-09-21	released	8	2024997424.0
ENCSR185OHN	True			Control ChIP-seq	Homo sapiens SK-N-SH	Bradley Bernstein, Broad	EFO:0003072	SK-N-SH	cell line	brain	cancer cell,neuroblastoma cell	ectoderm	central nervous system	Homo sapiens	ENCDO000ABD	female	child	4	year		paired-ended	Illumina HiSeq 2500	2	3	isogenic	2015-08-03	released	4	8160860654.0
ENCSR189JIH	False	ENCSR859LXC	H3K27ac	Histone ChIP-seq	Homo sapiens uterus tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0000995	uterus	tissue	uterus			reproductive system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2018-12-11	released	4	3328332076.0
ENCSR189QAD	False	ENCSR043UWF	H3K27ac	Histone ChIP-seq	Homo sapiens adrenal gland tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0002369	adrenal gland	tissue	endocrine gland,adrenal gland		mesoderm,ectoderm	endocrine system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2016-11-03	released	2	2046805868.0
ENCSR189UPU	True			Control ChIP-seq	Homo sapiens spleen tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0002106	spleen	tissue	immune organ,spleen		mesoderm	digestive system,immune system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	2	4	isogenic	2016-11-03	released	14	8355234911.0
ENCSR191ZQT	False	ENCSR300ZUS	H3K27ac	Histone ChIP-seq	Homo sapiens B cell male adult (37 years)	John Stamatoyannopoulos, UW	CL:0000236	B cell	primary cell	bodily fluid,blood	leukocyte,hematopoietic cell,B cell	endoderm,mesoderm	immune system	Homo sapiens	ENCDO028NGF	male	adult	37	year	Hispanic	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	1518671458.0
ENCSR193TCX	True			Control ChIP-seq	Homo sapiens layer of hippocampus tissue male adult (81 years)	Bradley Bernstein, Broad	UBERON:0002305	layer of hippocampus	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO980BZD	male	adult	81	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	6	874960162.0
ENCSR194KGO	False	ENCSR033XKQ	H3K27ac	Histone ChIP-seq	Homo sapiens skin epidermis tissue female adult (66 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO017WNO	female	adult	66	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	4	1886904684.0
ENCSR195BZZ	True			Control ChIP-seq	Homo sapiens right atrium auricular region tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0006631	right atrium auricular region	tissue	heart		mesoderm	circulatory system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2016-11-03	released	4	4774077658.0
ENCSR195CFR	False	ENCSR793ISY	H3K27ac	Histone ChIP-seq	Homo sapiens dorsolateral prefrontal cortex tissue male adult (81 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO980BZD	male	adult	81	year		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	6	1954384261.0
ENCSR195JWZ	False	ENCSR728EIP	H3K27ac	Histone ChIP-seq	Homo sapiens gastroesophageal sphincter tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0004550	gastroesophageal sphincter	tissue	stomach,musculature of body		endoderm	musculature,digestive system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-02-12	released	4	3924129796.0
ENCSR196CXJ	True			Control ChIP-seq	Homo sapiens A673	Bradley Bernstein, Broad	EFO:0002106	A673	cell line	musculature of body	cancer cell	mesoderm	musculature	Homo sapiens	ENCDO027VXA	female	child	15	year		single-ended	Illumina HiSeq 2000	2	3	isogenic	2016-05-06	released	3	7048508191.0
ENCSR198WIH	True			Control ChIP-seq	Homo sapiens HCT116	Bradley Bernstein, Broad	EFO:0002824	HCT116	cell line	intestine,colon,epithelium,large intestine	epithelial cell,cancer cell	endoderm	digestive system	Homo sapiens	ENCDO000ABE	male	adult	48	year		single-ended	Illumina HiSeq 2000	2	2	isogenic	2015-08-03	released	4	5514721607.0
ENCSR200ETW	False	ENCSR650EVQ	H3K27ac	Histone ChIP-seq	Homo sapiens endodermal cell originated from HUES64	Bradley Bernstein, Broad	CL:0000223	endodermal cell	in vitro differentiated cells	embryo	embryonic cell	endoderm		Homo sapiens	ENCDO424FTP	male	embryonic				single-ended	Illumina HiSeq 2000	2	2	isogenic	2013-07-31	released	4	2984168300.0
ENCSR200JVJ	False	ENCSR557HEX	H3K27ac	Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue male adult (89 years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO697SWU	male	adult	89	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-05-06	released	8	2815761151.0
ENCSR200QAA	True			Control ChIP-seq	Homo sapiens spleen tissue male adult (26 years)	Bradley Bernstein, Broad	UBERON:0002106	spleen	tissue	spleen,immune organ		mesoderm	immune system,digestive system	Homo sapiens	ENCDO221IPH	male	adult	26	year	European	single-ended	Illumina NextSeq 500	1	1	unreplicated	2020-09-03	released	4	3977485469.0
ENCSR201KGX	True			Control ChIP-seq	Homo sapiens aorta tissue male adult (34 years)	Bing Ren, UCSD	UBERON:0000947	aorta	tissue	arterial blood vessel,vasculature,blood vessel		mesoderm	circulatory system	Homo sapiens	ENCDO058AAA	male	adult	34	year	European	single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	1067350443.0
ENCSR201VAH	True			Control ChIP-seq	Homo sapiens motor neuron	Michael Snyder, Stanford	CL:0000100	motor neuron	in vitro differentiated cells	spinal cord,brain	neural cell	ectoderm	central nervous system	Homo sapiens	ENCDO908CUN	male	adult	47	year		paired-ended	Illumina NovaSeq 6000	1	1	unreplicated	2021-12-15	released	1	4226358646.0
ENCSR203KCB	False	ENCSR164POT	H3K27ac	Histone ChIP-seq	Homo sapiens thyroid gland tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0002046	thyroid gland	tissue	endocrine gland,thyroid gland		endoderm	endocrine system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	2	4	isogenic	2016-05-23	released	4	5161622579.0
ENCSR203KEU	False	ENCSR248IFK	H3K27ac	Histone ChIP-seq	Homo sapiens RWPE1	Michael Snyder, Stanford	EFO:0002323	RWPE1	cell line	prostate gland,epithelium	epithelial cell	mesoderm,endoderm	reproductive system	Homo sapiens	ENCDO000ADM	male	adult	54	year	European	paired-ended	Illumina HiSeq 4000	2	2	isogenic	2017-03-03	released	2	11332726992.0
ENCSR204GMP	True			Control ChIP-seq	Homo sapiens A549	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 4000	3	3	isogenic	2017-10-19	released	3	3590099696.0
ENCSR204OJS	False	ENCSR962EJE	H3K27ac	Histone ChIP-seq	Homo sapiens stomach tissue male adult (54 years)	Bradley Bernstein, Broad	UBERON:0000945	stomach	tissue	stomach		endoderm	digestive system	Homo sapiens	ENCDO451RUA	male	adult	54	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-02-12	released	6	3685146550.0
ENCSR204TAU	False	ENCSR514EZP	H3K27ac	Histone ChIP-seq	Homo sapiens esophagus squamous epithelium tissue female adult (51 years)	Bradley Bernstein, Broad	UBERON:0006920	esophagus squamous epithelium	tissue	epithelium,esophagus		endoderm	digestive system	Homo sapiens	ENCDO271OUW	female	adult	51	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2019-09-11	released	4	4238275683.0
ENCSR207ABA	False	ENCSR438NOO	H3K27ac	Histone ChIP-seq	Homo sapiens with basal cell carcinoma; skin epidermis tissue male adult (67 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO128KBJ	male	adult	67	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	4	2250741640.0
ENCSR207FYD	False	ENCSR891ZHA	H3K27ac	Histone ChIP-seq	Homo sapiens with mild cognitive impairment; dorsolateral prefrontal cortex tissue female adult (90 or above years)	Bradley Bernstein, Broad	UBERON:0009834	dorsolateral prefrontal cortex	tissue	brain		ectoderm	central nervous system	Homo sapiens	ENCDO033BMB	female	adult	90 or above	year	European	single-ended	Illumina NextSeq 500	1	2	unreplicated	2021-06-24	released	8	2226362148.0
ENCSR208QRN	False	ENCSR828XQV	H3K27ac	Histone ChIP-seq	Homo sapiens transverse colon tissue female adult (53 years)	Bradley Bernstein, Broad	UBERON:0001157	transverse colon	tissue	colon,intestine,large intestine		endoderm	digestive system	Homo sapiens	ENCDO793LXB	female	adult	53	year		single-ended	Illumina HiSeq 2500	2	4	isogenic	2016-11-03	released	12	5114617641.0
ENCSR209QGZ	False	ENCSR113XPE	H3K27ac	Histone ChIP-seq	Homo sapiens spinal cord tissue female embryo (108 days)	John Stamatoyannopoulos, UW	UBERON:0002240	spinal cord	tissue	spinal cord		ectoderm	central nervous system	Homo sapiens	ENCDO176AAI	female	embryonic	108	day		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	896507098.0
ENCSR210ZPC	False	ENCSR729MRJ	H3K27ac	Histone ChIP-seq	Homo sapiens smooth muscle cell originated from H9	Bradley Bernstein, Broad	CL:0000192	smooth muscle cell	in vitro differentiated cells	musculature of body	smooth muscle cell	mesoderm	musculature	Homo sapiens	ENCDO222AAA	female	embryonic	5	day		single-ended	Illumina HiSeq 2500	2	3	isogenic	2016-04-27	released	3	3661818420.0
ENCSR212FST	True			Control ChIP-seq	Homo sapiens A549	Tim Reddy, Duke	EFO:0001086	A549	cell line	lung	cancer cell	endoderm	respiratory system	Homo sapiens	ENCDO000AAZ	male	adult	58	year	European	single-ended	Illumina HiSeq 4000	3	3	isogenic	2017-10-19	released	3	4086175638.0
ENCSR212SJH	True			Control ChIP-seq	Homo sapiens iPS DF 6.9	Bing Ren, UCSD	EFO:0007098	iPS DF 6.9	cell line	skin of prepuce of penis,penis,skin of body	induced pluripotent stem cell,stem cell	mesoderm,ectoderm	integumental system,reproductive system	Homo sapiens	ENCDO592CQV	male	newborn				single-ended	Illumina Genome Analyzer IIx	1	1	unreplicated	2013-07-31	released	1	569035010.0
ENCSR213SMK	False	ENCSR780UWK	H3K27ac	Histone ChIP-seq	Homo sapiens sigmoid colon tissue male child (3 years)	Bing Ren, UCSD	UBERON:0001159	sigmoid colon	tissue	colon,large intestine,intestine		endoderm	digestive system	Homo sapiens	ENCDO478OMA	male	child	3	year		single-ended	Illumina Genome Analyzer IIx	1	1	unreplicated	2013-07-31	released	1	1647593489.0
ENCSR214MNL	True			Control ChIP-seq	Homo sapiens H9	Bing Ren, UCSD	EFO:0003045	H9	cell line	embryo	embryonic cell,stem cell			Homo sapiens	ENCDO222AAA	female	embryonic	5	day		single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	1	822031418.0
ENCSR214UPJ	True			Control ChIP-seq	Homo sapiens foreskin fibroblast male newborn	Joseph Costello, UCSF	CL:1001608	foreskin fibroblast	primary cell	connective tissue,penis,skin of body	fibroblast,connective tissue cell	mesoderm,ectoderm	integumental system,reproductive system	Homo sapiens	ENCDO047TBB	male	newborn				single-ended	Illumina HiSeq 2000	1	1	unreplicated	2013-07-31	released	2	5014798905.0
ENCSR214UZE	False	ENCSR126UEY	H3K27ac	Histone ChIP-seq	Homo sapiens skin epidermis tissue female adult (71 years)	Bradley Bernstein, Broad	UBERON:0001003	skin epidermis	tissue	epithelium,skin of body		ectoderm	integumental system	Homo sapiens	ENCDO588YPS	female	adult	71	year		single-ended	Illumina HiSeq 2500	1	1	unreplicated	2020-09-10	released	2	2634069548.0
ENCSR215WNN	True			Control ChIP-seq	Homo sapiens testis tissue male adult (37 years)	Bradley Bernstein, Broad	UBERON:0000473	testis	tissue	gonad,testis			reproductive system	Homo sapiens	ENCDO845WKR	male	adult	37	year		single-ended	Illumina HiSeq 2500	1	2	unreplicated	2017-08-28	released	4	4418201314.0
ENCSR217SDT	False	ENCSR978XYH	H3K27ac	Histone ChIP-seq	Homo sapiens BLaER1 48 hours after the sample was treated with 100 nM 17β-estradiol, 10 ng/mL Interleukin-3, 10 ng/mL CSF1	Roderic Guigo, CRG	EFO:0030018	BLaER1	cell line	bone marrow,bone element		mesoderm	immune system,skeletal system	Homo sapiens	ENCDO305PTK	female					single-ended	Illumina HiSeq 2000	2	2	isogenic	2022-05-10	released	3	6882233230.0
